Shape,date,time,title,description,location_description,location_accuracy,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,latitude,longitude,country_name,state,gazetteer_closest_point,gazetteer_distance
"(77.10290000000003, 31.022600000000068)",18/09/2012 00:00,,"Jatog and Kaithlighat railway stations, Kaithleeghat, Himachal Pradesh","As many as five trains came to a halt on Tuesday following a landslide between Jatog and Kaithlighat railway stations on Kalka-Shimla railway section. The landslide, which was triggered following torrential rains on the track, was noticed by railway.  employees, who immediately Thereafter, railway authorities cancelled the movement of all trains till clearance of the track.    informed the authorities around 1pm.","Jatog and Kaithlighat railway stations, Kaithleeghat, Himachal Pradesh",1km,landslide,downpour,medium,unknown,,,31.0226,77.1029,India,Himachal Pradesh,Simla,6.77
"(88.55600000000004, 27.838500000000067)",19/09/2012 00:00,,"North Skkimm Hwy between, Chungthang and Mangan, North Skimm (9 landslides)","At least twenty one bodies, including those of the Indo-Tibetan Border Police (ITBP) and the Border Roads Organisation (BRO) personnel, have so far been found while eight persons are still missing due to flash flood and landslides in remote areas of North Sikkim, official sources said  The dead include four from the ITBP, two of their family members, and 12 junior officers from the BRO. Other victims were casual labourers, officials said.Most of the casualties are reported from Rangma range.Landslides were caused by heavy rains since September 19, Deputy Commissioner North district T W Khangsherpa said.There were about nine landslides blocking the main road between Chungthang and Mangan in the district, he said.","North Skkimm Hwy between, Chungthang and Mangan, North Skimm (9 landslides)",10km,landslide,downpour,large,unknown,20,,27.8385,88.556,India,Sikkim,Sikkim,21.4
"(88.60500000000008, 27.655800000000056)",19/09/2012 00:00,," Chungthang and Pegong. Houses, between Rangma and Chungthang ","At least twenty one bodies, including those of the Indo-Tibetan Border Police (ITBP) and the Border Roads Organisation (BRO) personnel, have so far been found while eight persons are still missing due to flash flood and landslides in remote areas of North Sikkim, official sources said  The dead include four from the ITBP, two of their family members, and 12 junior officers from the BRO. Other victims were casual labourers, officials said.Most of the casualties are reported from Rangma range.Landslides were caused by heavy rains since September 19, Deputy Commissioner North district T W Khangsherpa said.There were about nine landslides blocking the main road between Chungthang and Mangan in the district, he said. Several landslides blocked the main roads between Chungthang and Pegong. Houses along Lachen river between Rangma and Chungthang were washed away in flash floods along Lachen river."," Chungthang and Pegong. Houses, between Rangma and Chungthang ",10km,landslide,downpour,large,unknown,,,27.6558,88.605,India,Sikkim,Sikkim,11.88
"(78.38810000000007, 30.495400000000075)",16/06/2013 00:00,,"Rishikesh-Joshimath-Mana Road, Uttarakhand","Between June 15 and 17th. ""Extensive damage has been done to lives and property due to torrential rains, cloudbursts and landslides between June 15 and 17. Vital road and infrastructure has been destroyed.... A number of bridges have been washed away or irreparably damaged,"" the official said quoting a preliminary report from Uttarakhand. At least 50 major landslides occurred at four stretches -- Rudraprayag-Gaurikund, Rishikesh-Joshimath-Mana, Rishikesh- Dharasu-Gangotri and Pithoragarh-Ghatiabgarh,"" the official said, adding these stretches alone saw 40 major formation breaches. Rishikesh-Joshimath-Mana road, which leads to the famous Badrinath shrine, has been quite seriously affected and ""beyond Joshimath, up to Mana, serious damage has occurred. Two offshoots - Simli-Gwaldham and Joshimath-Malari are closed,"" the official said, adding that as far as Risikesh-Dharasu- Gangotri road was concerned, ""road beyond Dharasu is a major concern."" Rishikesh-Joshimath-Mana road, which leads t","Rishikesh-Joshimath-Mana Road, Uttarakhand",50km,landslide,rain,medium,unknown,0,,30.4954,78.3881,India,Uttaranchal,Chham,4.63
"(78.66950000000008, 30.885000000000048)",16/06/2013 00:00,,"Dharasu-Gangotri Road, Uttarakhand","Between June 15 and 17th. ""Extensive damage has been done to lives and property due to torrential rains, cloudbursts and landslides between June 15 and 17. Vital road and infrastructure has been destroyed.... A number of bridges have been washed away or irreparably damaged,"" the official said quoting a preliminary report from Uttarakhand. At least 50 major landslides occurred at four stretches -- Rudraprayag-Gaurikund, Rishikesh-Joshimath-Mana, Rishikesh- Dharasu-Gangotri and Pithoragarh-Ghatiabgarh,"" the official said, adding these stretches alone saw 40 major formation breaches. Rishikesh-Joshimath-Mana road, which leads to the famous Badrinath shrine, has been quite seriously affected and ""beyond Joshimath, up to Mana, serious damage has occurred. Two offshoots - Simli-Gwaldham and Joshimath-Malari are closed,"" the official said, adding that as far as Risikesh-Dharasu- Gangotri road was concerned, ""road beyond Dharasu is a major concern.""","Dharasu-Gangotri Road, Uttarakhand",50km,landslide,rain,medium,unknown,0,,30.885,78.6695,India,Uttaranchal,Purali,16.99
"(80.41700000000003, 29.79860000000008)",16/06/2013 00:00,,"Pithoragarh-Ghatiabgarh Road, Uttarakhand","Between June 15 and 17th. ""Extensive damage has been done to lives and property due to torrential rains, cloudbursts and landslides between June 15 and 17. Vital road and infrastructure has been destroyed.... A number of bridges have been washed away or irreparably damaged,"" the official said quoting a preliminary report from Uttarakhand. At least 50 major landslides occurred at four stretches -- Rudraprayag-Gaurikund, Rishikesh-Joshimath-Mana, Rishikesh- Dharasu-Gangotri and Pithoragarh-Ghatiabgarh,"" the official said, adding these stretches alone saw 40 major formation breaches. Rishikesh-Joshimath-Mana road, which leads to the famous Badrinath shrine, has been quite seriously affected and ""beyond Joshimath, up to Mana, serious damage has occurred. Two offshoots - Simli-Gwaldham and Joshimath-Malari are closed,"" the official said, adding that as far as Risikesh-Dharasu- Gangotri road was concerned, ""road beyond Dharasu is a major concern."" On Tanakpur-Pithoragarh-Jauljibi-Tawaghat-Gh","Pithoragarh-Ghatiabgarh Road, Uttarakhand",50km,landslide,rain,medium,unknown,0,,29.7986,80.417,India,Uttaranchal,Tham,6.99
"(77.59470000000005, 10.962800000000072)",25/06/2013 08:00,08:00,"Thenpara, Kerala-Tamil Nadu Inter-State Highway, Nadukani Ghat Road Connecting Nilambur With Gudallur In Tamilnadu","The landslides occurred at First Hairpin Bend, Thenpara and Jaram regions of Ghat Road, after the heavy rain received at Nadukani last night. Efforts to clear the block began early morning on Tuesday by forest officials who arrived from Nellikkuthu.","Thenpara, Kerala-Tamil Nadu Inter-State Highway, Nadukani Ghat Road Connecting Nilambur With Gudallur In Tamilnadu",unknown,landslide,downpour,medium,unknown,0,,10.9628,77.5947,India,Tamil Nadu,Kangayam,6.08
"(77.59470000000005, 10.962800000000072)",25/06/2013 08:00,08:00,"Jaram, Kerala-Tamil Nadu Inter-State Highway, Nadukani Ghat Road Connecting Nilambur With Gudallur In Tamilnadu","The landslides occurred at First Hairpin Bend, Thenpara and Jaram regions of Ghat Road, after the heavy rain received at Nadukani last night. Efforts to clear the block began early morning on Tuesday by forest officials who arrived from Nellikkuthu.","Jaram, Kerala-Tamil Nadu Inter-State Highway, Nadukani Ghat Road Connecting Nilambur With Gudallur In Tamilnadu",unknown,landslide,downpour,medium,unknown,0,,10.9628,77.5947,India,Tamil Nadu,Kangayam,6.08
"(93.94130000000007, 25.76580000000007)",17/07/2013 00:00,,"National Highway 29 Between Patkai Bridge And Kukidolong, Nagaland",Fresh mudslides were reported in some parts of Nagaland affecting the vehicular movements in Nagaland and Manipur. The mudslides had buried some portions of highways 2 and 29 on Tuesday. An 80 metre long breach at NH 2 near Kohima has disrupted all vehicular movements cutting off Manipur. Officials said that most of the debris were cleared by Wednesday night and vehicular movement restored. There will be free flow of traffic unless there is fresh rain.,"National Highway 29 Between Patkai Bridge And Kukidolong, Nagaland",50km,mudslide,rain,medium,unknown,0,,25.7658,93.9413,India,Nagaland,Chashinya,19.41
"(94.08850000000007, 25.713100000000054)",17/07/2013 00:00,,"National Highway 2 Near Meriema Village, 10 Km Away From Kohima",Fresh mudslides were reported in some parts of Nagaland affecting the vehicular movements in Nagaland and Manipur. The mudslides had buried some portions of highways 2 and 29 on Tuesday. An 80 metre long breach at NH 2 near Kohima has disrupted all vehicular movements cutting off Manipur. Officials said that most of the debris were cleared by Wednesday night and vehicular movement restored. There will be free flow of traffic unless there is fresh rain.,"National Highway 2 Near Meriema Village, 10 Km Away From Kohima",50km,mudslide,rain,medium,unknown,0,,25.7131,94.0885,India,Nagaland,Naga Hills,16.99
"(94.24416766300004, 26.14454469900005)",01/07/2017 22:00,22:00,Landslide along Wokha-Merapani road,Landslides (this is the second) at along Wokha-Merapani Road isolates Wokha from Assam State. Following downpour on night of 7/1.,"Wokha Sadar Sub-District, Wokha, Nagaland",5km,landslide,downpour,small,above_road,0,0,26.1445447,94.24416766,India,Nagaland,Yimpang,15.57
"(91.87202792700003, 26.20450453500007)",03/07/2017 07:00,07:00,Landslide in Panikhaiti kills girl,"Incessant rainfall triggers landslide in Panikhaiti, landslide kills girl walking to school. Also damages three houses.","Panikhaiti, Kamrup Metropolitan, Assam State, India",1km,landslide,continuous_rain,medium,natural_slope,1,0,26.20450454,91.87202793,India,Assam,Gauhati,12.21
"(94.51465100000007, 26.32472400000006)",05/09/2016 00:00,,Landslide in Nagaland,"In Mokokchung, a massive landslide near Unger village along NH-2 has paralyzed all vehicular movement. When contacted, Deputy Commissioner (DC) Mokokchung, Sushil Kumar Patel told Nagaland Post that the district administration had already instructed the concerned officers from the National Highway Division to take up restoration work at the earliest.","Mokochung, Nagaland, India",1km,landslide,rain,large,unknown,0,0,26.324724,94.514651,India,Nagaland,Nagaland,15.14
"(94.12901273700004, 25.497644399000023)",04/07/2017 00:00,,Landslide blocks road,"NH-2 blocked around .5 km towards Imphal from Mao gate. Traffic movement initially restricted, then banned by district until 14:00 on 7/5. Following heavy rains.","AH1, Mao-Maram, Senapati, Manipur, 795150",1km,landslide,continuous_rain,small,above_road,0,0,25.4976444,94.12901274,India,Manipur,Sochumei,11.07
"(94.25752300000005, 26.092493000000047)",05/09/2016 00:00,,Landslide in Wokha-Merapani Road,"n Wokha, the District Disaster Management Agency (DDMA) has cleared massive landslide on Wokha-Merapani road that occurred in the wee hours of Monday some 10 kms from Wokha. The landslide blocked all traffic along the Wokha-Merapani state highway, the district’s lifeline.","Wokha, India",,landslide,rain,large,unknown,0,0,26.092493,94.257523,India,Nagaland,Yimpang,21.35
"(91.92053027500003, 26.222472467000046)",03/07/2017 00:00,,Fatal landslide in Chandrapur,"Landslide kills one man in Chandrapur, Assam State during incessant rains that caused, floods, and landslides throughout the state.","Chandrapur, Kamrup Metropolitan, Assam",10km,landslide,continuous_rain,medium,unknown,1,0,26.22247247,91.92053028,India,Assam,Assam,11.64
"(91.85158906700008, 26.10618080100005)",03/07/2017 00:00,,Landslide hits Jorabat,"Article very sparse on details. One of two landslides besides the one at the police station to hit Jorabat on about 7/3, following heavy rain on Sunday 7/2.","Jorabat, Assam State, India",5km,landslide,downpour,small,unknown,0,0,26.1061808,91.85158907,India,Assam,Pomahi,2.35
"(91.86227823500008, 26.104307592000055)",03/07/2017 00:00,,Landslide hits Jorabat,"Article very sparse on details. One of two landslides besides the one at the police station to hit Jorabat on about 7/3, following heavy rain on Sunday 7/2.","Sonapur, Kamrup Metropolitan, Assam",5km,landslide,downpour,small,unknown,0,0,26.10430759,91.86227824,India,Assam,Pomahi,1.47
"(77.10971900000004, 31.95654600000006)",02/09/2016 00:00,,Landslide in Kullu,"Four persons were buried alive while five others suffered injuries when boulders fell on their vehicle at Manihar village in the Garsa valley.The deceased have been identified as Laxman (38), Nanda from Jharkhand, Khem Raj (50) from Nepal, while Sugrin Gupta (29) from Bihar is still trapped under the debris.","Manihar Village, Kullu, India",5km,landslide,unknown,large,above_road,4,5,31.956546,77.109719,India,Himachal Pradesh,Kulu,0.72
"(94.21263588600004, 27.98531715300004)",04/07/2017 22:00,22:00,Landslide in Daporijo,Landslide after rains that cause flooding throughout Daporijo wash away a dwelling,"Abotani Colony, Daporijo Township, Arunachal Pradesh, India",1km,landslide,rain,medium,above_road,0,0,27.98531715,94.21263589,India,Arunachal Pradesh,Daparijo,1.19
"(94.24222574400005, 26.11613907700007)",01/07/2017 22:00,22:00,Landslides blocks Wokha-Merapani Road,Landslides at along Wokha-Merapani Road isolates Wokha from Assam State. Following downpour on night of 7/1.,"Wokha Sadar Sub-District, Wokha, Nagaland",5km,landslide,continuous_rain,small,above_road,0,0,26.11613908,94.24222574,India,Nagaland,Yimpang,18.72
"(94.26296826100008, 27.978757513000062)",04/07/2017 22:00,22:00,Landslide along Daporijo-Dumporijo road,Landslide after rains that cause flooding throughout Daporijo severely damage Daporijo-Dumporjio road,"Daporijo-Dumporijo road, Arunachal Pradesh, India",10km,landslide,rain,small,above_road,0,0,27.97875751,94.26296826,India,Arunachal Pradesh,Daparijo,4
"(88.29518924900003, 26.902980478000075)",05/07/2017 00:00,,Landslide blocks NH-55,"Landslide blocks NH-55 near Kurseong, West Bengal. Large rock appears to have damaged a car (see attached photo.) From the article: Kurseong has witnessed 128.2mm rainfall in the last 24 hours. Since July 1 to July 4th, the cumulative rainfall in Kurseong is 250.2mm. Met offices predict heavy rainfall in the next 24 hours.","Kurseong, Darjeeling, West Bengal, India",5km,landslide,continuous_rain,medium,above_road,0,0,26.90298048,88.29518925,India,West Bengal,Kurseong,2.65
"(92.87641206800004, 23.694611071000054)",28/06/2017 00:00,unknown,Landslide damages road,Landslide on Aizawl-Champhai road between Seling and Tuirini (believed to be the Tuirini River). Initial research suggests that geological activity along a fault is responsible for the landslide.,"Aizawl, Mizoram State, India",10km,landslide,other,large,above_road,0,0,23.69461107,92.87641207,India,Mizoram,Aizwal,8.35
"(94.55427722900004, 26.33125309500008)",01/07/2017 22:00,22:00,Landslide blocks roads,Landslide following a downpour blocks two approach roads to Fazl Ali College,"Chuchuyimpang, Mokokchung, Nagaland",1km,landslide,downpour,medium,above_road,0,0,26.3312531,94.55427723,India,Nagaland,Mongseyimti,12.93
"(88.25902123200007, 27.021493108000072)",06/07/2017 20:00,08:00,"Landslide obstructs road, breaks water pipe","Landslide causes water pipe to break, boulders obstruct road. Article: ""North Bengal, along with the hills, has been experiencing constant, heavy showers ever since monsoon made its way to the region. The water levels of the rivers have been rising and the hills are being bothered by regular landslides.""","Alubari, Darjeeling, West Bengal, India",1km,landslide,continuous_rain,medium,above_road,0,0,27.02149311,88.25902123,India,West Bengal,Darjeeling,2.16
"(88.49200000000008, 27.593000000000075)",16/08/2016 00:00,,Landslide in Dzongu,"A major valley-blocking landslide at Dzongu in Sikkim, northern India. The landslide, which is large, has blocked the Kanaka River completely, and a lake has started to build behind it.","Dzongu, Sikkim, India",exact,landslide,rain,large,natural_slope,0,0,27.593,88.492,India,Sikkim,Sikkim,7.03
"(93.61465640000006, 27.06992579300004)",19/06/2017 04:00,04:00,Landslide in Chimpu,"Landslide hits house, killing one",,1km,landslide,unknown,small,urban,1,,27.06992579,93.6146564,India,Arunachal Pradesh,Kaolakhat,48.98
"(75.46743478000008, 34.277038024000035)",05/06/2017 20:00,20:00,Landslide near Zojila,Rain causes landslide on Srinagar-Leh highway,"Zojila area, between Sonarmarg and Meenmarg",25km,landslide,rain,small,above_road,0,0,34.27703802,75.46743478,India,Jammu and Kashmir,Matayan,16.12
"(80.26097733500006, 16.283325862000027)",27/05/2017 00:00,,Rockfall in quarry in Phirangipuram,Rainfall coupled with illegal mining causes rockfall in quarry,Quarry at Phirangipuram village in Guntur,1km,landslide,rain,medium,mine,6,1,16.28332586,80.26097734,India,Andhra Pradesh,Phirangipuram,0.96
"(80.23721800000004, 30.070512000000065)",10/08/2016 20:00,20:00,Landslide in Munsyari,"1 man died after being hit by rocks and debris following a landslide in Munsyari area of Pithoragarh district. Incessant rains have caused the water levels of most rivers to rise. However, the Ganga river is flowing around one metre below the danger mark at both Haridwar and Rishikesh.","Munsyari, Pithoragarh, Uttarakhand, India",1km,landslide,continuous_rain,small,above_road,1,0,30.070512,80.237218,India,Uttaranchal,Mathkot,7.21
"(93.20266203500006, 24.219888307000076)",26/06/2017 00:00,,Landslide blocks NH-2 between Pherzawl and Bukpi,"Road blocked by landslide after heavy rain, maiden journel of Pherzawl Express bus service interrupted","NH-2, Pherzawl District, Manipur State, India",10km,landslide,downpour,medium,above_road,0,0,24.21988831,93.20266204,India,Manipur,Parbung,10.11
"(76.86942779700007, 11.341658084000073)",01/06/2017 10:00,10:00,Landslide near Coonooer,"Trees and boulders fell onto highway, cutting off traffic for two hours",Coonoor-Mettupalyam road near Kallar,5km,landslide,rain,small,above_road,0,0,11.34165808,76.8694278,India,Tamil Nadu,Coonoor,8.26
"(75.37123000000008, 32.628030000000024)",21/06/2017 00:00,,Landslides in Jammu and Kashmir - Panthiyal,Landslide and mudslide close highway,Panthiyal village area,5km,landslide,rain,small,above_road,0,0,32.62803,75.37123,India,Jammu and Kashmir,Ramnagar,20.29
"(92.94670614200004, 25.152468627000076)",04/06/2017 00:00,,"Flood, Landslide in Assam",Large amounts of rain cause landslide in Barak Valley region,Dima Hasao district,50km,landslide,continuous_rain,medium,natural_slope,,,25.15246863,92.94670614,India,Assam,Narainpur,13.14
"(93.18182447600003, 24.304156886000044)",27/06/2017 00:00,,Landslide cuts off NH 2,Landslide blocks another section of NH 2 between Damdiei and Pherzawl after heavy rains,"NH 2, Manipur State, India",5km,landslide,downpour,medium,above_road,0,0,24.30415689,93.18182448,India,Manipur,Parbung,10.03
"(79.56163207800006, 30.565046752000057)",20/05/2017 00:00,,Landslide in Chanoli district,"Boulders roll down mountainside, blocking highway","Rishikesh-Badrinath highway, near Vishnuprayag, between Joshimath and Badrinath",5km,landslide,unknown,medium,above_road,0,0,30.56504675,79.56163208,India,Uttaranchal,Joshimath,0.37
"(78.41278400000004, 31.581485000000043)",15/08/2016 22:00,22:00,Landslide in Nyugalsari,"National Highway 05 was blocked in Kinnaur district, since Monday night after a landslide in the Nyugalsari area.",Y:31.581485 X:78.412784,25km,landslide,rain,small,above_road,0,0,31.581485,78.412784,India,Himachal Pradesh,Burati Thatang,24.44
"(95.39989700000007, 26.881610000000023)",16/08/2016 00:00,,Landslide at Longding,"1 man killed by landslide caused my massive cloudburst, at the PHED Colony at Longding","Longding, India",25km,landslide,other,small,unknown,1,0,26.88161,95.399897,India,Arunachal Pradesh,Longsom,10.23
"(79.49231616900005, 30.733155853000028)",20/05/2017 00:00,,Badrinath highway landslide,Landslide on highway to Hindu temple Badrinath kills multiple and traps/blocks thousands of pilgrims,"Highway to Badrinath, Uttarakhand",25km,landslide,rain,large,natural_slope,13,,30.73315585,79.49231617,India,Uttaranchal,Saraswati,1.49
"(75.23162006200005, 33.632518066000046)",21/06/2017 22:00,22:00,Landslides is Anantang district,"Houses, roads, and crops were damaged across Anantang district",,25km,landslide,downpour,medium,natural_slope,,,33.63251807,75.23162006,India,Jammu and Kashmir,Anantnag,13.47
"(74.66018578400008, 13.900745464000067)",12/06/2017 09:00,09:00,Landslide on Southern Railway,Rain caused landslide to block train traffic between Jokatte and Padil,"Along track betweek Jokatte and Padil stations, near Mangaluru",5km,landslide,rain,small,above_road,0,0,13.90074546,74.66018578,India,Karnataka,Bainduru,7.72
"(91.89496619700003, 23.864699556000062)",03/06/2017 20:00,20:00,Landslide in Tripura,Incessant rain causes landslide in remote Tripura village,Vidyamohan Chowdhury Para (???) of remote Dhalai district,50km,landslide,continuous_rain,medium,natural_slope,3,1,23.86469956,91.8949662,India,Tripura,Tripura,13.57
"(79.31958144000004, 30.33597362200004)",06/06/2017 00:00,,Landslide near Nandprayag,"Landslide due to heavy rains in Uttarakhand town, featuring falling boulders",Muniyali village (?) near Nadprayag,5km,landslide,rain,small,natural_slope,1,1,30.33597362,79.31958144,India,Uttaranchal,Langsu,5.78
"(79.45126400000004, 29.35084900000004)",16/08/2016 00:00,,Landslide on Highway 87,"Heavy rains triggered a massive landslide in Uttarakhand, leading to closure of the highway connecting Nainital to Rampur and affecting supplies to this popular tourist town. Earth movers were employed but the rock could not be moved. Later more machines were employed to break the rock. Since yesterday, Nainital has received 218 mm of rainfall affecting normal life.","Highway 87, near Doa Goan, Uttarakhand",5km,landslide,rain,medium,above_road,0,0,29.350849,79.451264,India,Uttaranchal,Nainital,5.26
"(74.41606625000003, 14.428279574000044)",11/06/2017 00:00,,"Landslide in Kumta, India, kills three",Landslide on a road in Kumta kills three children and wounds 7,On a road in the town of Kumta,5km,landslide,rain,medium,above_road,3,7,14.42827957,74.41606625,India,Karnataka,Kumta,1.87
